Sucursal,NombreSucursal,SucursalCP,Delegacion,STATUS_SOLICITUD,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SCORE_CLIENTE,SUMA_SALDOS_TOTAL,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
40,LOMAS DE CHAPULTEPEC,11000,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,62228,0,Alto,0,91,0,51,Renta,Posgrado
4,LA VILLA,7810,Gustavo A. Madero,Rechazada,Rechazado,MALO,0,,,57601,0,Alto,0,96,0,51,Propia,Licenciatura
7576,INSURGENTES NOCHE BUENA,3100,Benito Juarez,Rechazada,Rechazado,MALO,0,,,64443,0,Alto,0,98,0,51,Propia,Posgrado
7772,PABELLON CUEMANCO,14336,Tlalpan,Pendiente,Pre-Aprobado,MALO,1,,,65176,0,Alto,0,111,38103,51,Renta,Licenciatura
7772,PABELLON CUEMANCO,14336,Tlalpan,Pendiente,Pre-Aprobado,MALO,1,,,46933,0,Alto,0,121,0,51,Propia,Posgrado
7746,PARQUE HUNDIDO,3100,Benito Juarez,Pendiente,Pre-Aprobado,MALO,1,,,50512,4000,Alto,0,124,0,51,Propia,Preparatoria
479,SAN FERNANDO,14050,Tlalpan,Aprobada,Aprobado,BUENO,10000,9000,0.1,67901,6400,Bajo,0.9,219,83517,51,Familiares,Licenciatura
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Aprobada,Aprobado,BUENO,38000,16720,0.56,65566,18000,Mínimo,0.44,219,0,51,Familiares,Licenciatura
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,48966,0,Alto,0,90,0,52,Familiares,Preparatoria
7829,MIGUEL ANGEL DE QUEVEDO,4010,Coyoacan,Rechazada,Rechazado,MALO,0,,,66178,0,Alto,0,91,0,52,Propia,Preparatoria
7569,CORNER SELECT SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,60731,0,Alto,0,91,0,52,Renta,Preparatoria
7571,CORNER SELECT PLAZA UNIVERSIDAD,3340,Benito Juarez,En_proceso,Rechazado,MALO,0,,,52268,0,Alto,0,94,0,52,Renta,Licenciatura
7804,LA SALLE MEXICO,6140,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,61702,47000,Alto,0,100,0,52,Hipoteca,Licenciatura
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,74329,0,Alto,0,101,0,52,Renta,Preparatoria
7790,PLAZA OASIS,4310,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,50956,0,Alto,0,120,0,52,Hipoteca,Licenciatura
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,68988,0,Alto,0,120,0,52,Renta,Preparatoria
7735,FELIX CUEVAS RECREO,3100,Benito Juarez,Pendiente,Pre-Aprobado,MALO,1,,,62709,0,Alto,0,124,0,52,Familiares,Preparatoria
33,ERMITA IZTAPALAPA,9070,Iztapalapa,Aprobada,Aprobado,REGULAR,9899,10889,-0.1,50385,0,Medio ,1.1,217,0,52,Propia,Licenciatura
33,ERMITA IZTAPALAPA,9070,Iztapalapa,Rechazada,Rechazado,MALO,0,,,71975,0,Alto,0,89,0,53,Familiares,Posgrado
5751,CERRO DE LA ESTRELLA,9360,Iztapalapa,Rechazada,Rechazado,MALO,0,,,56415,0,Alto,0,92,0,53,Propia,Posgrado
401,ESCENARIA,1090,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,57858,374500,Alto,0,99,22931,53,Hipoteca,Posgrado
141,NEXTENGO AZCAPOTZALCO,2070,Azcapotzalco,Aprobada,Aprobado,BUENO,75000,34500,0.54,74287,36000,Mínimo,0.46,223,0,53,Familiares,Posgrado
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,67636,0,Alto,0,89,0,54,Renta,Posgrado
4,LA VILLA,7810,Gustavo A. Madero,Rechazada,Rechazado,MALO,0,,,60491,0,Alto,0,95,0,54,Renta,Licenciatura
7829,MIGUEL ANGEL DE QUEVEDO,4010,Coyoacan,Rechazada,Rechazado,MALO,0,,,72127,0,Alto,0,100,0,54,Hipoteca,Preparatoria
