Sucursal,NombreSucursal,SucursalCP,Delegacion,STATUS_SOLICITUD,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SCORE_CLIENTE,SUMA_SALDOS_TOTAL,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
339,PLAZA LAS ANTENAS,9910,Iztapalapa,Rechazada,Rechazado,MALO,0,,,19713,0,Alto,0,101,0,27,Hipoteca,Preparatoria
7746,PARQUE HUNDIDO,3100,Benito Juarez,Pendiente,Pre-Aprobado,MALO,1,,,16728,0,Alto,0,120,0,27,Renta,Preparatoria
7790,PLAZA OASIS,4310,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,19772,0,Alto,0,123,0,27,Propia,Licenciatura
7790,PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,18973,0,Alto,0,98,0,30,Renta,Secundaria
7790,PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,19453,0,Alto,0,95,0,31,Familiares,Preparatoria
7790,PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,19431,0,Alto,0,96,0,36,Hipoteca,Secundaria
7804,LA SALLE MEXICO,6140,Cuauhtemoc,Pendiente,Pre-Aprobado,MALO,1,,,13555,0,Alto,0,147,0,27,Renta,Preparatoria
7804,LA SALLE MEXICO,6140,Cuauhtemoc,Pendiente,Pre-Aprobado,MALO,1,,,25469,0,Alto,0,125,0,35,Hipoteca,Posgrado
399,SAN JERONIMO,1900,Alvaro Obregon,Aprobada,Aprobado,REGULAR,45999,46459,-0.01,22695,0,Medio ,1.01,229,0,31,Familiares,Licenciatura
400,PALMAS CORINTO,11000,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,17116,31500,Alto,0,92,0,28,Familiares,Licenciatura
400,PALMAS CORINTO,11000,Miguel Hidalgo,Aprobada,Aprobado,BUENO,1999,1359,0.32,25010,0,Bajo,0.68,226,0,34,Renta,Preparatoria
401,ESCENARIA,1090,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,18542,15000,Alto,0,90,0,34,Hipoteca,Preparatoria
7568,BOX SELECT NAPOLES,3810,Benito Juarez,Rechazada,Rechazado,MALO,0,,,20374,0,Alto,0,98,0,28,Hipoteca,Posgrado
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,20435,0,Alto,0,142,0,28,Familiares,Licenciatura
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,19784,0,Alto,0,135,0,32,Propia,Preparatoria
7576,INSURGENTES NOCHE BUENA,3100,Benito Juarez,Rechazada,Rechazado,MALO,0,,,15393,0,Alto,0,92,0,29,Hipoteca,Licenciatura
7621,PLAZA LA VIGA,9430,Iztapalapa,Aprobada,Aprobado,REGULAR,5600,1008,0.82,21268,0,Mínimo,0.18,210,0,29,Renta,Posgrado
7719,BOX SELECT CORUGNA,8200,Iztacalco,Aprobada,Aprobado,BUENO,6000,5400,0.1,14566,0,Bajo,0.9,185,0,29,Propia,Licenciatura
7719,BOX SELECT CORUGNA,8200,Iztacalco,Aprobada,Aprobado,BUENO,10300,8755,0.15,26061,0,Bajo,0.85,170,0,35,Renta,Preparatoria
7719,BOX SELECT CORUGNA,8200,Iztacalco,Rechazada,Rechazado,MALO,0,,,25844,0,Alto,0,89,0,36,Renta,Posgrado
7569,CORNER SELECT SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,26981,0,Alto,0,100,0,35,Propia,Preparatoria
7759,TELEVISA SANTA FE,1219,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,22163,15000,Alto,0,100,0,34,Hipoteca,Posgrado
41,REFORMA DIANA,6600,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,25229,0,Alto,0,92,0,37,Hipoteca,Posgrado
16,PORTAL SAN ANGEL,1040,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,28540,0,Alto,0,98,0,37,Renta,Posgrado
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,29367,0,Alto,0,100,0,37,Renta,Licenciatura
340,RIVIERA,3600,Benito Juarez,Rechazada,Rechazado,MALO,0,,,27490,18004,Alto,0,97,0,38,Propia,Licenciatura
7790,PLAZA OASIS,4310,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,32729,0,Alto,0,120,0,38,Familiares,Licenciatura
67,CENTRAL DE ABASTOS,9040,Iztapalapa,Aprobada,Aprobado,BUENO,9899,4257,0.57,33058,21500,Bajo,0.43,240,0,38,Renta,Licenciatura
223,LAGO ALBERTO,11320,Miguel Hidalgo,Aprobada,Aprobado,REGULAR,2999,3419,-0.14,24507,2999,Alto,1.14,250,0,38,Familiares,Preparatoria
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,31940,0,Alto,0,90,0,39,Hipoteca,Posgrado
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,31339,0,Alto,0,93,0,39,Renta,Licenciatura
11,POLANCO,11560,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,23045,0,Alto,0,94,0,39,Familiares,Preparatoria
7772,PABELLON CUEMANCO,14336,Tlalpan,Rechazada,Rechazado,MALO,0,,,29864,0,Alto,0,95,2610,39,Familiares,Posgrado
7790,PLAZA OASIS,4310,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,32605,0,Alto,0,124,0,39,Propia,Licenciatura
7588,CAMPESTRE CHURUBUSCO,4410,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,34179,0,Alto,0,154,0,39,Renta,Preparatoria
400,PALMAS CORINTO,11000,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,33437,0,Alto,0,89,0,40,Familiares,Preparatoria
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,33857,0,Alto,0,91,0,40,Propia,Licenciatura
7569,CORNER SELECT SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,34929,0,Alto,0,93,0,40,Hipoteca,Licenciatura
474,ALVARO OBREGON,6700,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,30942,0,Alto,0,94,0,40,Familiares,Preparatoria
16,PORTAL SAN ANGEL,1040,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,30873,0,Alto,0,97,0,40,Renta,Preparatoria
500,GANTE,6000,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,34055,47000,Alto,0,97,0,40,Familiares,Preparatoria
7568,BOX SELECT NAPOLES,3810,Benito Juarez,Rechazada,Rechazado,MALO,0,,,31664,0,Alto,0,99,0,40,Hipoteca,Posgrado
7796,AEROPUERTO T2,15620,Venustiano Carranza,Rechazada,Rechazado,MALO,0,,,34517,0,Alto,0,90,0,41,Renta,Preparatoria
7791,BOX SELECT PLAZA OASIS,4310,Coyoacan,Rechazada,Rechazado,MALO,0,,,32279,0,Alto,0,93,0,41,Propia,Licenciatura
223,LAGO ALBERTO,11320,Miguel Hidalgo,Rechazada,Rechazado,MALO,0,,,36552,0,Alto,0,95,0,41,Hipoteca,Posgrado
236,MIXHUCA,15850,Venustiano Carranza,Rechazada,Rechazado,MALO,0,,,38316,0,Alto,0,96,0,41,Renta,Posgrado
7568,BOX SELECT NAPOLES,3810,Benito Juarez,Rechazada,Rechazado,MALO,0,,,35757,0,Alto,0,96,0,41,Propia,Posgrado
45,AZCAPOTZALCO,2070,Azcapotzalco,Rechazada,Rechazado,MALO,0,,,36043,0,Alto,0,101,0,41,Propia,Preparatoria
7790,PLAZA OASIS,4310,Coyoacan,Pendiente,Pre-Aprobado,MALO,1,,,28469,0,Alto,0,143,0,41,Propia,Licenciatura
16,PORTAL SAN ANGEL,1040,Alvaro Obregon,Aprobada,Aprobado,BUENO,27000,16200,0.4,38881,0,Bajo,0.6,205,0,42,Familiares,Preparatoria
16,PORTAL SAN ANGEL,1040,Alvaro Obregon,Rechazada,Rechazado,MALO,0,,,42978,0,Alto,0,97,0,43,Renta,Licenciatura
7571,CORNER SELECT PLAZA UNIVERSIDAD,3340,Benito Juarez,Aprobada,Aprobado,BUENO,15000,9300,0.38,36761,3000,Bajo,0.62,179,0,43,Propia,Preparatoria
487,COLONIA DEL VALLE,3100,Benito Juarez,Aprobada,Aprobado,REGULAR,20200,4646,0.77,30102,15200,Bajo,0.23,220,0,43,Propia,Posgrado
7576,INSURGENTES NOCHE BUENA,3100,Benito Juarez,Rechazada,Rechazado,MALO,0,,,45557,0,Alto,0,97,0,44,Propia,Licenciatura
7569,CORNER SELECT SAN MIGUEL CHAPULTEPEC,11850,Miguel Hidalgo,Cancelada,Rechazado,MALO,0,,,42726,0,Alto,0,100,0,44,Propia,Preparatoria
57,SAN ANTONIO,3910,Benito Juarez,Rechazada,Rechazado,MALO,0,,,44005,0,Alto,0,90,65212,45,Renta,Posgrado
7804,LA SALLE MEXICO,6140,Cuauhtemoc,Rechazada,Rechazado,MALO,0,,,35249,0,Alto,0,93,0,45,Familiares,Licenciatura
7829,MIGUEL ANGEL DE QUEVEDO,4010,Coyoacan,En_proceso,Rechazado,MALO,0,,,41954,0,Alto,0,100,0,45,Familiares,Posgrado
